film,jaar,decennium,regisseur,genre,land,gemiddelde_shotlengte,aantal_shots,speelduur
Verloren kust: Finale,2007,2000,Mercier,Thriller,Italië,1.7,3882,110
Vreemde kust,2007,2000,Bakker,Arthouse,Nederland,4.37,1675,122
Achter de toren,2008,2000,Serrano,Thriller,Verenigde Staten,1.83,3049,93
Brief aan brug III,2008,2000,Yilmaz,Drama,Frankrijk,1.54,3740,96
Nacht van stad: Het begin,2008,2000,Lindgren,Arthouse,Verenigde Staten,1.98,4091,135
Stille brug: Het begin,2008,2000,Ferrante,Thriller,Verenigd Koninkrijk,2.33,3270,127
Stille spoor II,2008,2000,Novak,Drama,Duitsland,3.79,1900,120
Twaalf winter,2008,2000,Van Doorn,Drama,Verenigde Staten,1.97,3198,105
Het stad II,2009,2000,Okada,Komedie,Italië,2.05,3044,104
Nacht van grens II,2009,2000,Serrano,Thriller,Italië,3.22,2161,116
Stille spoor,2009,2000,Weiss,Komedie,Frankrijk,3.11,1814,94
Verloren machine: Terugkeer,2009,2000,Costa,Thriller,Verenigde Staten,3.41,1883,107
Zeven kliff II,2009,2000,Okada,Arthouse,Verenigd Koninkrijk,4.12,2184,150
Zomer in markt,2009,2000,Ferrante,Arthouse,Verenigde Staten,5.31,1175,104
Blauwe straat: Terugkeer,2010,2010,Petrova,Drama,Duitsland,2.84,1944,92
Nacht van stad,2010,2010,Petrova,Thriller,Italië,1.51,4371,110
Nacht van zomer II,2010,2010,Costa,Thriller,Duitsland,1.02,6941,118
Stille stem,2010,2010,Laurent,Thriller,Verenigd Koninkrijk,2.45,2743,112
Stille straat,2010,2010,Serrano,Thriller,Verenigde Staten,2.76,2717,125
Twaalf spoor,2010,2010,Halvorsen,Komedie,Hongkong,2.02,2911,98
Blauwe toren,2011,2010,Yilmaz,Arthouse,Verenigde Staten,4.66,2086,162
Gouden kust,2011,2010,Novak,Thriller,Verenigde Staten,1.64,4390,120
Het straat: Terugkeer,2011,2010,Halvorsen,Actie,Verenigde Staten,1.82,3033,92
Onder de tuin: Finale,2011,2010,Kowalski,Actie,Verenigde Staten,0.99,7939,131
Stille kamer: Het begin,2011,2010,Petrova,Komedie,Japan,1.86,3290,102
Stille schaduw,2011,2010,Ferrante,Komedie,Frankrijk,2.06,2592,89
Brief aan markt: Het begin,2012,2010,Lindgren,Komedie,Verenigde Staten,2.3,2687,103
Een schaduw: Finale,2012,2010,Van Doorn,Arthouse,Verenigde Staten,5.08,1429,121
Een tuin III,2012,2010,Andersson,Komedie,Verenigde Staten,3.2,1444,77
Rode haven: Finale,2012,2010,De Wit,Actie,Verenigd Koninkrijk,1.73,4474,129
Twaalf haven III,2012,2010,Vermeulen,Actie,Verenigde Staten,1.81,3845,116
Vreemde tuin: Terugkeer,2012,2010,Yilmaz,Drama,Verenigde Staten,2.87,2300,110
De kliff III,2013,2010,Petrova,Drama,Verenigde Staten,3.29,2170,119
Een tuin,2013,2010,Laurent,Actie,Japan,1.3,4523,98
Eerste sneeuw: Finale,2013,2010,Kowalski,Arthouse,Verenigde Staten,5.19,1549,134
Gouden vuurtoren,2013,2010,Bakker,Actie,Duitsland,1.16,7345,142
Onder de kust II,2013,2010,Yilmaz,Komedie,Verenigd Koninkrijk,1.78,3539,105
Voorbij de spiegel II,2013,2010,Weiss,Drama,Verenigd Koninkrijk,3.19,2558,136
Achter de hemel,2014,2010,Rossi,Thriller,Italië,1.49,4389,109
Koude stad: Het begin,2014,2010,Novak,Actie,Frankrijk,1.56,4423,115
Laatste schaduw,2014,2010,Kowalski,Drama,Duitsland,2.22,3081,114
Rode spiegel: Finale,2014,2010,De Wit,Actie,Nederland,1.12,6964,130
Stille markt: Terugkeer,2014,2010,Costa,Drama,Hongkong,4.3,1884,135
Terug naar vuurtoren,2014,2010,Lindgren,Arthouse,Verenigde Staten,6.07,1532,155
Achter de belofte,2015,2010,Petrova,Komedie,Verenigde Staten,2.07,2841,98
Achter de wachter,2015,2010,Vermeulen,Actie,Verenigde Staten,1.87,2567,80
De kamer: Het begin,2015,2010,Bakker,Arthouse,Verenigd Koninkrijk,5.61,1390,130
Koude vuurtoren III,2015,2010,Moreau,Drama,Verenigd Koninkrijk,3.12,1673,87
Laatste rivier,2015,2010,Mercier,Actie,Frankrijk,1.87,3914,122
Zeven trein: Het begin,2015,2010,Ferrante,Drama,Frankrijk,3.57,1832,109
Brief aan dans III,2016,2010,Costa,Thriller,Verenigd Koninkrijk,1.17,4615,90
Brief aan machine III,2016,2010,Weiss,Arthouse,Verenigde Staten,4.71,1605,126
Onder de kust,2016,2010,Haddad,Actie,Italië,1.37,5255,120
Witte kliff,2016,2010,Okada,Actie,Verenigd Koninkrijk,1.88,2777,87
Witte spoor II,2016,2010,Lindgren,Thriller,Italië,1.93,3824,123
Zomer in machine,2016,2010,Petrova,Arthouse,Frankrijk,3.25,2178,118
Een kamer: Het begin,2017,2010,Vermeulen,Thriller,Verenigde Staten,2.05,2254,77
Het dans III,2017,2010,Vermeulen,Komedie,Verenigde Staten,2.53,2751,116
Nacht van toren: Het begin,2017,2010,Weiss,Actie,Duitsland,0.91,6923,105
Onder de brug II,2017,2010,Serrano,Drama,Verenigde Staten,3.55,2028,120
Onder de grens,2017,2010,De Wit,Drama,Verenigde Staten,2.86,2308,110
Voorbij de trein: Terugkeer,2017,2010,Novak,Drama,Duitsland,1.81,4110,124
Achter de stad: Het begin,2018,2010,Novak,Thriller,Verenigd Koninkrijk,2.73,1802,82
Brief aan kliff III,2018,2010,Haddad,Arthouse,Italië,5.49,1399,128
Gouden kamer: Terugkeer,2018,2010,Vermeulen,Drama,Japan,2.58,2721,117
Vreemde sneeuw,2018,2010,Lindgren,Drama,Nederland,2.54,3331,141
Zomer in spiegel,2018,2010,De Wit,Drama,Verenigde Staten,2.82,2745,129
Zomer in winter: Terugkeer,2018,2010,Laurent,Drama,Verenigde Staten,3.96,1864,123
Achter de sneeuw III,2019,2010,Lindgren,Thriller,Hongkong,1.41,5234,123
Brief aan kust: Terugkeer,2019,2010,Vermeulen,Komedie,Hongkong,3.24,1630,88
Brief aan stem: Terugkeer,2019,2010,Lindgren,Thriller,Verenigde Staten,2.01,3224,108
Laatste spiegel: Het begin,2019,2010,Okada,Drama,Duitsland,2.46,2707,111
Nacht van kamer,2019,2010,Okada,Actie,Italië,1.1,6055,111
Verloren kust: Het begin,2019,2010,Okada,Thriller,Verenigde Staten,1.53,4039,103
Brief aan winter: Finale,2020,2020,Serrano,Arthouse,Verenigd Koninkrijk,2.52,2857,120
Het schaduw: Finale,2020,2020,Andersson,Actie,Japan,1.43,4699,112
Het trein,2020,2020,De Wit,Actie,Verenigd Koninkrijk,1.04,6288,109
Nacht van tuin,2020,2020,Novak,Actie,Japan,1.94,3959,128
Twaalf kliff,2020,2020,Van Doorn,Actie,Italië,1.97,3533,116
Witte winter,2020,2020,Vermeulen,Thriller,Verenigd Koninkrijk,1.97,3137,103
Brief aan kust: Finale,2021,2020,Yilmaz,Komedie,Verenigd Koninkrijk,2.55,2400,102
De machine: Terugkeer,2021,2020,Novak,Actie,Verenigde Staten,1.15,6417,123
De winter: Finale,2021,2020,Petrova,Komedie,Verenigde Staten,1.03,7398,127
Onder de wachter,2021,2020,Mercier,Actie,Verenigde Staten,1.85,4703,145
Stille winter,2021,2020,Weiss,Thriller,Italië,1.25,4992,104
Voorbij de straat,2021,2020,Mercier,Actie,Verenigde Staten,1.81,4906,148
Eerste machine: Finale,2022,2020,Haddad,Drama,Hongkong,2.0,3060,102
Koude haven: Terugkeer,2022,2020,Vermeulen,Komedie,Verenigde Staten,2.09,3301,115
Nacht van dans III,2022,2020,Kowalski,Arthouse,Duitsland,7.56,1000,126
Onder de belofte II,2022,2020,Halvorsen,Thriller,Nederland,0.97,6186,100
Verloren stem,2022,2020,Novak,Drama,Verenigde Staten,2.55,2494,106
Vreemde stem,2022,2020,Weiss,Drama,Italië,3.74,1717,107
Achter de spoor: Terugkeer,2023,2020,Petrova,Actie,Japan,1.89,3619,114
Laatste hemel: Finale,2023,2020,Okada,Komedie,Verenigd Koninkrijk,2.83,1611,76
Laatste spoor: Het begin,2023,2020,Novak,Thriller,Duitsland,1.72,2826,81
Nacht van kamer III,2023,2020,Weiss,Komedie,Verenigde Staten,2.13,2761,98
Rode markt: Finale,2023,2020,Moreau,Actie,Verenigde Staten,0.98,7959,130
Witte tuin: Het begin,2023,2020,Costa,Komedie,Zweden,2.74,2124,97
De kamer II,2024,2020,Haddad,Drama,Frankrijk,2.41,2888,116
Een wachter,2024,2020,Weiss,Drama,Duitsland,3.38,2343,132
Rode dans,2024,2020,Rossi,Drama,Hongkong,2.79,1957,91
Vreemde machine,2024,2020,Costa,Drama,Frankrijk,2.71,2413,109
Witte markt: Het begin,2024,2020,Haddad,Drama,Verenigde Staten,4.32,1500,108
Zeven trein,2024,2020,Petrova,Komedie,Japan,3.6,1883,113
